日期,股票代码,成交量,换手率,RSI,MACD_DIF,MACD_DEA,MACD_HIST,KDJ_K,KDJ_D,KDJ_J,MACD信号,RSI信号,KDJ信号
2023-01-19,600519,23439,0.19,,,,,58.226418988648106,70.77975170838876,33.1197535491668,死叉,中性,中性
2023-01-20,600519,25609,0.2,,,,,34.586744937209346,54.40490084391015,-5.049566876192259,死叉,中性,超卖
2023-01-30,600519,35923,0.29,75.10407728731685,,,,29.83774281035564,40.88363557873769,7.745957273591543,死叉,超买,超卖
2023-01-31,600519,32991,0.26,65.61819878814283,,,,20.31533106702138,28.24660627152878,4.452780658006581,死叉,中性,超卖
2023-02-01,600519,33974,0.27,65.45169550201364,,,,30.910365131317732,27.021146336231578,38.68880272149004,死叉,中性,中性
2023-02-02,600519,29759,0.24,63.50543611106818,,,,24.4907317711897,25.238809323176266,22.99457666721657,死叉,中性,中性
2023-02-03,600519,34945,0.28,59.60399883422791,,,,26.469849876263083,27.290315592923502,24.828918442942246,死叉,中性,中性
2023-02-06,600519,42661,0.34,54.98397781793841,,,,23.340996528951308,24.767192725468025,20.488604135917875,死叉,中性,中性
2023-02-07,600519,24322,0.19,55.30837831458071,,,,27.359701336590604,25.723515913934992,30.632072181901826,死叉,中性,中性
2023-02-08,600519,16676,0.13,52.652364593909596,,,,28.875031125834983,26.525242997125627,33.5746073832537,死叉,中性,中性
2023-02-09,600519,29754,0.24,58.293464057837475,,,,48.25676115998696,34.83049787413751,75.10928773168587,死叉,中性,中性
2023-02-10,600519,17985,0.14,56.5851653775598,,,,59.693711306614524,45.60850119747881,87.86413152488596,死叉,中性,超买
2023-02-13,600519,38147,0.3,63.296329685559826,,,,78.86583454908948,62.27210233856365,112.05329897014117,死叉,中性,超买
2023-02-14,600519,19566,0.16,60.564206140949636,,,,74.1930200584763,70.91752197139344,80.74401623264205,死叉,中性,超买
2023-02-15,600519,18177,0.14,59.94522749555961,,,,72.40758218674027,75.15547893143535,66.91178869735009,死叉,中性,中性
2023-02-16,600519,33246,0.26,62.985372029345164,,,,68.72261673508798,71.77440632676819,62.61903755172759,死叉,中性,中性
2023-02-17,600519,26443,0.21,54.24532815345425,,,,50.3440572711014,63.824752064309884,23.38266768468442,死叉,中性,中性
2023-02-20,600519,29669,0.24,61.78923752431816,,,,55.8373068458428,58.3013269506774,50.9092666361736,死叉,中性,中性
2023-02-21,600519,18751,0.15,60.21178011781768,,,,56.05157593123207,54.07764668272543,59.999434428245365,死叉,中性,中性
2023-02-22,600519,21869,0.17,54.41460189834676,,,,60.36294173829989,57.41727483845826,66.25427553798313,死叉,中性,中性
2023-02-23,600519,21881,0.17,51.324616732883236,,,,38.53864948377967,51.651055717770554,12.313837015797915,死叉,中性,超卖
2023-02-24,600519,24635,0.2,46.57729530923271,,,,16.764280393039876,38.55529053837316,-26.817739897626687,死叉,中性,超卖
2023-02-27,600519,22065,0.18,50.27714645632928,,,,19.704480558895934,25.002470145238505,9.10850138621079,死叉,中性,超卖
2023-02-28,600519,23952,0.19,50.82216942732808,,,,28.447550651085294,21.63877053434038,42.06511088457512,死叉,中性,中性
2023-03-01,600519,24458,0.19,54.79468189334105,,,,55.13309763381562,34.42837628126563,96.54254033891561,死叉,中性,超买
2023-03-02,600519,13144,0.1,52.84208594759065,,,,67.41327551765617,50.3313079341857,101.5772106845971,死叉,中性,超买
2023-03-03,600519,16198,0.13,50.991178621970576,-2.5345165743378857,4.653816612836795,-7.18833318717468,72.54104233654141,65.0291384960044,87.56485001761541,死叉,中性,超买
2023-03-06,600519,20646,0.16,48.969633597048364,-4.451796821463404,4.0663576815916205,-8.518154503055024,56.12995818407895,65.36142534609219,37.66702386005247,死叉,中性,中性
2023-03-07,600519,22785,0.18,45.60426301728609,-8.082325633746223,3.2825716612472435,-11.364897294993465,32.098214327314516,53.589738282644966,-10.884833583346378,死叉,中性,超卖
2023-03-08,600519,22764,0.18,42.61129502794622,-12.281867068703605,2.27841432383106,-14.560281392534664,16.300405476272374,34.84285932922196,-20.784502229626796,死叉,中性,超卖
2023-03-09,600519,27612,0.22,42.54402642933598,-13.888776513910443,1.2353697536541888,-15.124146267564631,13.866188842185302,20.754936215257406,0.08869409604109535,死叉,中性,超卖
2023-03-10,600519,21161,0.17,39.20784695290025,-16.956861877119536,0.061677390378464536,-17.018539267498,17.945806676580233,16.03746699834598,21.762486033048738,死叉,中性,中性
2023-03-13,600519,20560,0.16,42.13681740126545,-15.784492567529469,-0.9606561552930151,-14.823836412236453,23.667938774140577,18.493311430968713,34.0171934604843,死叉,中性,中性
2023-03-14,600519,23705,0.19,43.12057052700812,-13.582321879417805,-1.774957169752679,-11.807364709665126,33.14247988762104,24.91874177944729,49.58995610396854,死叉,中性,中性
